lambda,n_hubs,config,abandonment_pct,avg_queue_wait_min,avg_true_wait_min,matched_riders,avg_earnings,total_earnings,avg_profit_per_hr,avg_idle_time,avg_idle_ratio,variance,fairness_cv,cvar,fairness_effect,delta_cvar_cross,delta_profit
3.2,4,lam3.2_kmean_4,1.6245730116463595,0.07502564978034035,13.983992890996637,36575,114.72617591681441,593937.4127213482,16.425316122049516,2.5656865131329303,0.3632712964679309,1423.1545095797917,0.3288240006059115,27.428524417499194,-0.05834816400988396,-3.0197453588052916,-1.4764682144782881
3.3000000000000003,3,lam3.3_kmean_3,2.170650659234645,0.10395098218138259,14.437071260603688,36506,117.30176060694825,593195.0033893373,16.787534375605965,2.4179242248845063,0.3632712964679309,1370.9066923275188,0.3156453658979609,27.201865371649703,-0.0194933656796632,-3.2464044046547826,1.0991164756555492
3.3000000000000003,4,lam3.3_kmean_4,1.6245730116463595,0.07502564978034035,13.983992890996637,36575,114.72617591681441,593937.4127213482,16.425316122049516,2.5656865131329303,0.3632712964679309,1423.1545095797917,0.3288240006059115,27.428524417499194,-0.05834816400988396,-3.0197453588052916,-1.4764682144782881
3.4000000000000004,3,lam3.4_kmean_3,2.517755112938538,0.12603548389927305,14.34401406118681,36511,118.43907911903335,591840.0783578097,16.928780089807347,2.3955324824412694,0.3632712964679309,1312.1218378049564,0.3058384329292417,31.506117926306608,0.024222789127668176,1.0578481500021226,2.236434987740651
3.4000000000000004,4,lam3.4_kmean_4,1.599207093300474,0.07929192979847229,13.844297547797208,36734,114.19202340600184,594940.4419452696,16.29336409800659,2.629372599966424,0.3632712964679309,1408.298384959543,0.3286333032866933,25.956619781168353,-0.047300205330552236,-4.491649995136132,-2.010620725290863
3.5,3,lam3.5_kmean_3,1.9965161463218546,0.09978970522544285,14.096988307222801,36570,117.03227890717525,592417.3958281211,16.719876488546088,2.481857528283078,0.3632712964679309,1364.8654013137914,0.31567431771490706,30.133767116965323,-0.01500067763378432,-0.314502659339162,0.8296347758825533
3.5,4,lam3.5_kmean_4,1.599207093300474,0.07929192979847229,13.844297547797208,36734,114.19202340600184,594940.4419452696,16.29336409800659,2.629372599966424,0.3632712964679309,1408.298384959543,0.3286333032866933,25.956619781168353,-0.047300205330552236,-4.491649995136132,-2.010620725290863
3.6,3,lam3.6_kmean_3,1.801608579088472,0.08759441443737315,14.01450791511415,36628,115.41596246016876,594045.9587824886,16.470924652953208,2.563318927302159,0.3632712964679309,1385.6815841730943,0.32252682776658737,28.542681589394192,-0.030480914503737466,-1.9055881869102933,-0.7866816711239437
3.6,4,lam3.6_kmean_4,1.599207093300474,0.07929192979847229,13.844297547797208,36734,114.19202340600184,594940.4419452696,16.29336409800659,2.629372599966424,0.3632712964679309,1408.298384959543,0.3286333032866933,25.956619781168353,-0.047300205330552236,-4.491649995136132,-2.010620725290863
3.7,3,lam3.7_kmean_3,1.8531928017807813,0.08880758491832341,14.019232290186093,36596,115.06010170580569,593710.1248019574,16.420123499116063,2.5759061188239594,0.3632712964679309,1397.2744835995725,0.3248748638771591,27.551192038422915,-0.03910213148402675,-2.8970777378815704,-1.142542425487008
3.7,4,lam3.7_kmean_4,1.8308233336017825,0.0907248678324226,13.875114556601915,36569,115.60717187959786,592717.9702266982,16.514097041229196,2.566638855026505,0.3632712964679309,1426.1530696746408,0.32666175683545373,25.653073930325675,-0.06057808391646802,-4.79519584597881,-0.5954722516948436
3.8000000000000003,3,lam3.8_kmean_3,1.8531928017807813,0.08880758491832341,14.019232290186093,36596,115.06010170580569,593710.1248019574,16.420123499116063,2.5759061188239594,0.3632712964679309,1397.2744835995725,0.3248748638771591,27.551192038422915,-0.03910213148402675,-2.8970777378815704,-1.142542425487008
3.8000000000000003,4,lam3.8_kmean_4,2.1694878937218767,0.10599836605421284,14.093020577636086,36526,116.96427938428641,590903.5394494149,16.724822495681224,2.475875738602174,0.3632712964679309,1355.3055554113598,0.31474972531871415,29.301965326589347,-0.007891368496266038,-1.1463044497151387,0.7616352529937132
3.9000000000000004,3,lam3.9_kmean_3,1.8531928017807813,0.08880758491832341,14.019232290186093,36596,115.06010170580569,593710.1248019574,16.420123499116063,2.5759061188239594,0.3632712964679309,1397.2744835995725,0.3248748638771591,27.551192038422915,-0.03910213148402675,-2.8970777378815704,-1.142542425487008
3.9000000000000004,4,lam3.9_kmean_4,2.1391524011716965,0.10009809038750993,14.324419886874825,36415,116.54414568111133,590063.0095834667,16.631489904271028,2.4790949286498782,0.3632712964679309,1346.2617670354953,0.31482868362943167,29.74411252659611,-0.0011658325415535575,-0.704157249708377,0.3415015498186307
4.0,3,lam4.0_kmean_3,1.6428321348738253,0.07728580269656038,13.765036461645623,36521,114.21279478289465,592764.4049232232,16.323878294381448,2.6299467607973233,0.3632712964679309,1403.4054015054335,0.32800224258094246,27.006906623916635,-0.043661471784525174,-3.4413631523878507,-1.989849348398053
4.0,4,lam4.0_kmean_4,1.7708110421570726,0.08646310672535151,14.275895446607526,36722,116.75402187760614,594277.9713570152,16.691447827547247,2.460220723221303,0.3632712964679309,1327.343005633262,0.31204679978419014,30.83362586315179,0.012903361112835077,0.38535608684730605,0.5513777463134346
